start,duration,value
2019-12-14T20:21:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,95,95,95,95,95,96,96,96,96,88]"
2019-12-14T23:23:00+01:00,"[60,60,60,60]","[9,9,9,9]"
2019-12-14T23:35:00+01:00,"[60,60,60,60,60,60]","[50,49,49,50,50,12]"
2019-12-14T23:45:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[47,47,47,47,47,47,47,47,48,25]"
2019-12-15T01:22:00+01:00,"[60,60,60,60,60,60,60,60]","[48,48,48,48,49,49,49,40]"
2019-12-15T01:34:00+01:00,"[60,60,60]","[64,65,53]"
2019-12-15T01:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[45,45,45,45,45,46,46,46,46,15,20,20,21,21,21,21,21,21,21,21,30,59,59,59,59,59,59,59,59,60,22,16]"
2019-12-15T02:38:00+01:00,[60],[26]
2019-12-15T03:09:00+01:00,[60],[12]
2019-12-15T03:54:00+01:00,[60],[27]
2019-12-15T06:06:00+01:00,[60],[12]
2019-12-15T18:18:00+01:00,"[60,60,60,60]","[2,2,2,3]"
2019-12-15T19:27:00+01:00,[60],[13]
2019-12-15T19:43:00+01:00,[60],[13]
2019-12-15T21:56:00+01:00,"[60,60,60,60,60,60,60,60,60]","[36,36,36,36,37,37,37,37,37]"
2019-12-15T22:13:00+01:00,"[60,60,60,60,60,60,60]","[11,11,11,11,11,11,7]"
2019-12-15T22:53:00+01:00,[60],[8]
2019-12-15T23:33:00+01:00,[60],[17]
2019-12-18T02:29:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[108,108,108,109,109,109,109,109,109,109,97,95,95,96,96,96,96,96,96,96,31,27]"
2019-12-18T03:01:00+01:00,"[60,60]","[62,2]"
2019-12-18T03:12:00+01:00,"[60,60,60,60,60,60,60,60]","[78,78,79,79,79,79,79,39]"
2019-12-18T03:40:00+01:00,"[60,60,60,60,60,60,60]","[6,6,6,6,6,6,6]"
2019-12-18T03:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[82,83,83,83,83,83,83,83,83,83,94,101,101,101,102,102,100]"
2019-12-18T04:26:00+01:00,[60],[8]
2019-12-18T13:56:00+01:00,"[60,60,60,60]","[10,10,10,3]"
2019-12-18T20:22:00+01:00,[60],[4]
2019-12-18T20:49:00+01:00,"[60,60,60,60,60,60]","[4,4,4,5,5,5]"
2019-12-18T21:07:00+01:00,"[60,60,60,60,60,60,60,60,60]","[5,6,6,6,6,6,6,6,5]"
2019-12-18T21:40:00+01:00,[60],[9]
2019-12-18T22:08:00+01:00,[60],[11]
2019-12-18T22:59:00+01:00,"[60,60,60,60,60]","[23,23,23,23,18]"
2019-12-18T02:29:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[108,108,108,109,109,109,109,109,109,109,97,95,95,96,96,96,96,96,96,96,31,27]"
2019-12-18T03:01:00+01:00,"[60,60]","[62,2]"
2019-12-18T03:12:00+01:00,"[60,60,60,60,60,60,60,60]","[78,78,79,79,79,79,79,39]"
2019-12-18T03:40:00+01:00,"[60,60,60,60,60,60,60]","[6,6,6,6,6,6,6]"
2019-12-18T03:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[82,83,83,83,83,83,83,83,83,83,94,101,101,101,102,102,100]"
2019-12-18T04:26:00+01:00,[60],[8]
2019-12-18T13:56:00+01:00,"[60,60,60,60]","[10,10,10,3]"
2019-12-18T20:22:00+01:00,[60],[4]
2019-12-18T20:49:00+01:00,"[60,60,60,60,60,60]","[4,4,4,5,5,5]"
2019-12-18T21:07:00+01:00,"[60,60,60,60,60,60,60,60,60]","[5,6,6,6,6,6,6,6,5]"
2019-12-18T21:40:00+01:00,[60],[9]
2019-12-18T22:08:00+01:00,[60],[11]
2019-12-18T22:59:00+01:00,"[60,60,60,60,60]","[23,23,23,23,18]"
2019-12-19T00:51:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[4,4,4,4,4,4,4,4,5,5]"
2019-12-19T01:05:00+01:00,[60],[18]
2019-12-19T01:31:00+01:00,[60],[14]
